9,EE3549,Truyền động điện,2,2,0.75
9,EE3552,Điều khiển quá trình,2,4,0.7
9,EE3553,Điều khiển quá trình,3,4,0.7
10,EE3569,Trang bị điện máy sản xuất,2,3,0.75
10,EE3570,Thực tập nhận thức,1,2,1
10,EE3573,Đồ án nhận thức thực tế,1,2,1
10,EE3580,Thực tập xưởng điện,2,4,1
10,ET3000,Lập trình,3,5.5,0.7
10,ET3030,Lý thuyết mạch,4,6.5,0.7
10,ET3050,Lý thuyết thông tin,3,5,0.7
10,ET3060,Điện tử số,3,5.5,0.7
10,ET3070,Cấu kiện điện tử,3,5.5,0.7
10,ET3080,Xử lý số tín hiệu,3,5,0.7
10,ET3090,Điện tử tương tự I,3,5.5,0.7
10,ET30xx,Lập trình,4,5.5,0.7
10,ET3110,Kỹ thuật vi xử lý,4,6.5,0.5
10,ET3130,Thông tin số,3,5,0.7
10,ET3140,Điện tử tương tự II,3,5.5,0.7
10,ET3150,Cơ sở đo lường điện tử,3,5,0.7
10,ET3170,Đồ án thiết kế I,2,4,1
10,ET3180,Thông tin vô tuyến,3,4,0.7
10,ET3200,Cơ sở mạng thông tin,2,3,0.7
10,ET3550,Thực tập cơ bản,3,6,1
11,ET3560,Thực tập nâng cao,3,6,1
11,MI1026,Giải tích II,4,5,0.7
11,MI1034,Toán III,5,7,0.5
11,MI1036,Đại số,4,5,0.7
11,MI1046,Phương trình vi phân và chuỗi,3,4,0.7
11,MI2013,Phương pháp tính,3,4.5,0.7
11,MI2023,Xác suất thống kê,3,4,0.7
11,MI2026,Xác xuất thống kê,4,5,0.7
11,MI2033,Xác suất nâng cao,2,3,0.7
11,MI2044,Phương pháp tính,2,3,0.5
11,MI3010,Toán rời rạc,3,4,0.7
11,MI3014,Tối ưu hoá,2,2,0.5
11,MI3015,Toán ứng dụng,2,3,0.7
11,MI3020,Giải tích hàm,3,4,0.7
11,MI3025,Logic học,2,3,0.7
11,MI3030,Xác suất thống kê,4,5,0.7
11,MI3034,Phép tính hình thức & ứng dụng,1,1,0.5
11,MSE4418,Thực tập kỹ thuật,2,4,0.7
11,EE4423,Thiết bị khí nén và thủy lực trong tự động hóa,3,4,0.75
11,EE4422,Vi điều khiển và ứng dụng,3,4.5,0.75
12,FLE1204,Language Communication Skills 2,4,4,0.6
12,FLE1205,Dealing with Texts 2,3,3,0.6
12,FLE1206,Learning to learn 2 (BTL),3,3,0.6
12,FLE1207,Professional skills 1,4,4,0.5
12,IT3072E,Operating Systems,2,2,0.7
12,MSE4001,Vật liệu kỹ thuật,2,2,0.7
12,ET3046,Cơ sinh,3,4,0.7
12,ET3116,Kỹ thuật vi xử lý,4,5.5,0.7
12,ET3146,Mạch điện tử II,4,5.5,0.7
12,ET4010E,Đồ án thiết kế,3,6,1
12,ET4020E,Xử lý số tín hiệu,3,4.5,0.7
12,ET4040E,Kiến trúc máy tính,3,4.5,0.7
12,ET4070E,Thông tin số 1,3,4.5,0.7
12,ET4080E,Cơ sở kỹ thuật mạng,3,4,0.7
12,ET4218,Thiết kế Kỹ thuật y sinh IV,1,2,0.7
12,ET5080E,Thiết kế số sử dụng VHDL,3,4,0.7
12,ET3310,Lý thuyết mật mã,3,4,0.7
12,CH2014,Hóa sinh đại cương,3,3,0.7
12,TEX5163,Quá trình sản xuất xơ sợi nhân tạo,2,3.5,0.7
12,TEX3104,Đồ án thiết kế,3,6,0.5
13,EE5072,Cơ khí đường dây,2,3,0.7
13,IT4779,Xử lý dữ liệu lớn,2,3,0.7
13,IT4756,Thương mại điện tử,2,3,0.7
13,IT4757,Kỹ thuật mô hình hóa và mô phỏng,2,3,0.6
13,IT4766,Lập trình kịch bản với JavaScript,2,3,0.6
13,IT4867,Xử lý dữ liệu phân tán,2,3,0.6
13,IT4868,Khai phá Web,3,4,0.7
13,IT3680,Thuật toán ứng dụng,3,6,0.7
13,BF5831,Thực tập tốt nghiệp KTTP,3,7.5,0.5
13,CH1020,Hoá học đại cương,3,3,0.7
13,EE4536,Dụng cụ và hệ thống tự động hóa đo trong xử lý môi trường,2,3,0.7
13,MSE3306,Các tính chất điện tử của vật liệu,3,3,0.7
13,IT4912,Điện toán đám mây - nguồn mở,2,4,0.7
13,IT4404,Phát triển Web trên nền tảng mã nguồn mở,2,3,0.7
13,IT3112,Hạ tầng công nghệ thông tin mã nguồn mở,2,3,0.7
13,IT4532,Đổi mới sáng tạo và khởi nghiệp công nghệ,2,3,0.7
13,MI3040,Giải tích số,4,5,0.7
13,MI3044,Phân tính thống kê & phân tích dữ liệu,1,1,0.5
13,MI3050,Các phương pháp tối ưu,4,5,0.7
13,MI2054,Hàm biến phức và đại số ma trận,2,3,0.8
14,MI3060,Cấu trúc dữ liệu và giải thuật,3,4,0.7
